date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:43	172226/172226	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20Oct%202021%2016:31:44%20GMT	https://paginadecompra.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.0.5	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor-pro/assets/js/frontend.min8d18.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:43	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:44	20715/20715	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2000:17:50%20GMT	https://paginadecompra.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-includes/js/jquery/ui/core.min0028.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:44	139153/139153	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:44	2578/2578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.6.3	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.mina767.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:44	10682/10682	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.9.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.mind227.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:44	37741/37741	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.3	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/js/frontend.mina767.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:45	43392/43392	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.6.3	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/js/preloaded-modules.mina767.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:46	53979/53979	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20May%202022%2001:36:44%20GMT	https://paginadecompra.com/wp-content/themes/images/bg/bg03.jpg	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/images/bg/bg03.jpg	(from https://paginadecompra.com/wp-content/themes/cloudpress/style.css?ver=6.0)
22:36:46	757617/757617	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Oct%202021%2020:58:06%20GMT	https://paginadecompra.com/wp-content/uploads/2021/10/beckground.jpg	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/uploads/2021/10/beckground.jpg	(from https://paginadecompra.com/wp-content/uploads/elementor/css/post-3649.css?ver=1649875129)
22:36:47	361056/361056	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/mobile-music-ipad-technology-play-internet-759447-pxhere.com.jpg	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/mobile-music-ipad-technology-play-internet-759447-pxhere.com.jpg	(from https://paginadecompra.com/wp-content/themes/cloudpress/style.css?ver=6.0)
22:36:47	42393/42393	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/map.png	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/map.png	(from https://paginadecompra.com/wp-content/themes/cloudpress/style.css?ver=6.0)
22:36:47	54099/54099	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20May%202022%2001:36:46%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/bg-pattern/bg-img1.png	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/images/theme-data/bg-pattern/bg-img1.png	(from https://paginadecompra.com/wp-content/themes/cloudpress/style.css?ver=6.0)
